reg_no,name,kana,pref,term,grade,next_grade
015665,福田 要,フクダ カナメ,宮崎,121,A2,
015685,小笠原 一真,オガサワラ カズマ,青森,123,A1,
015688,佐々木 祐太,ササキ ユウタ,岩手,123,A1,
015689,菊地 圭,キクチ ケイ,宮城,123,A1,
015691,岡部 伶音,オカベ レオ,福島,123,A1,
015693,松田 昂己,マツダ コウキ,茨城,123,A2,
015698,佐藤 譲士郎,サトウ ジョウシロウ,埼玉,123,A3,
015699,助川 翔太郎,スケガワ ショウタロウ,埼玉,123,A1,
015700,吉田 晏生,ヨシダ ハルキ,埼玉,123,A1,
015701,石田 典大,イシダ テンダイ,東京,123,A1,
015704,坪内 恒,ツボウチ コウ,千葉,123,A1,
015705,鳥海 創,トリウミ ソウ,千葉,123,A2,
015707,池邉 聖,イケベ セイ,神奈川,123,A1,
015708,山口 直樹,ヤマグチ ナオキ,神奈川,123,A3,
015709,神尾 敬冬,カミオ ケイト,静岡,123,A1,
015710,鈴木 康平,スズキ コウヘイ,静岡,123,A3,
015712,松本 京太,マツモト キョウタ,静岡,123,A1,
015714,望月 嘉人,モチヅキ ヨシト,静岡,123,A3,
015719,出口 謙一郎,デグチ ケンイチロウ,岐阜,123,A1,
015720,山元 大夢,ヤマモト ヒロム,石川,123,A3,
015721,内山 慧大,ウチヤマ ケイタ,福井,123,A1,
015722,竹澤 雅也,タケザワ マサヤ,福井,123,A2,
015726,龍野 琳太郎,タツノ リンタロウ,岡山,123,A1,
015732,宮道 良輔,ミヤミチ リョウスケ,徳島,123,A3,
015734,岡崎 陸登,オカザキ リクト,愛媛,123,A1,
015735,岡本 翔,オカモト ショウ,愛媛,123,A2,
015736,中岡 海,ナカオカ カイ,愛媛,123,A2,
015737,火島 裕輝,ヒジマ ユウキ,愛媛,123,A1,
015739,楠本 政明,クスモト マサアキ,福岡,123,A3,
015740,櫻木 雄太,サクラギ ユウタ,福岡,123,A1,
015741,堀川 敬太郎,ホリカワ ケイタロウ,福岡,123,A1,
015742,堀越 翔己,ホリコシ ショウキ,福岡,123,A2,
015743,丸林 駿太,マルバヤシ シュンタ,福岡,123,A2,
015746,峯口 司,ミネグチ ツカサ,長崎,123,A2,
015748,田中 会心,タナカ カイシン,熊本,123,A1,
015750,徳永 泰粋,トクナガ タイキ,熊本,123,A1,
015751,半田 誠,ハンダ マコト,熊本,123,A1,
015752,石川 航大,イシカワ コウダイ,宮崎,123,A1,
015753,枝村 弘樹,エダムラ ヒロキ,宮崎,123,A1,
015754,成海 大聖,ナルミ タイセイ,大分,123,A2,
015780,小田 恭介,オダ キョウスケ,青森,125,A1,
015781,齊藤 英伊須,サイトウ エイス,青森,125,A1,
015783,吉田 優斗,ヨシダ ユウト,岩手,125,A1,
015785,福田 健太,フクダ ケンタ,宮城,125,A1,
015788,平根 優大,ヒラネ ユウダイ,福島,125,A2,
015790,藤田 祐大,フジタ ユウタ,茨城,125,A1,
015791,岡部 陸斗,オカベ リクト,栃木,125,A1,
015792,貝原 涼太,カイハラ リョウタ,栃木,125,A1,
015795,今井 希,イマイ ノゾミ,埼玉,125,A1,
015796,川田 真也,カワダ シンヤ,埼玉,125,A1,
015797,中島 淳,ナカジマ ジュン,埼玉,125,A2,
015798,橋谷 成海,ハシヤ ナルミ,埼玉,125,A1,
015800,川越 宏臣,カワゴエ ヒロオミ,東京,125,A2,
015801,織茂 雄一郎,オリモ ユウイチロウ,山梨,125,A3,
015803,西村 剛,ニシムラ タケシ,新潟,125,A1,
015805,山下 祐輔,ヤマシタ ユウスケ,千葉,125,A1,
015806,山本 天平,ヤマモト テンペイ,千葉,125,A2,
015809,高野 信元,タカノ シンゲン,愛知,125,A1,
015810,瀧川 幸広,タキカワ ユキヒロ,愛知,125,A2,
015811,水谷 亮太,ミズタニ リョウタ,愛知,125,A2,
015812,森崎 英登,モリサキ ヒデト,愛知,125,A1,
015813,山本 和虎,ヤマモト カズトラ,愛知,125,A2,
015817,梅澤 忠秀,ウメザワ タダヒデ,三重,125,A1,
015819,弓矢 輪太郎,ユミヤ リンタロウ,三重,125,A1,
015820,岩元 叶馬,イワモト キョウマ,富山,125,A1,
015821,志田 愛希飛,シダ アキト,富山,125,A1,
015824,中嶋 響,ナカジマ ヒビキ,大阪,125,A3,
015827,藤原 夏志,フジワラ ナツシ,大阪,125,A2,
015828,秋末 蓮,アキスエ レン,兵庫,125,A2,
015829,油谷 蒼,アブタニ ソウ,兵庫,125,A2,
015830,細中 翔太,ホソナカ ショウタ,岡山,125,A1,
015831,三木 健正,ミキ タケマサ,岡山,125,A1,
015833,野村 賢,ノムラ ケン,山口,125,A1,
015834,原田 峻治,ハラダ シュンジ,山口,125,A2,
015835,藤井 優希,フジイ ユウキ,山口,125,A1,
015838,森 柾斗,モリ マサト,徳島,125,A2,
015839,船山 真生,フナヤマ マサキ,愛媛,125,A1,
015841,中西 勇,ナカニシ ユウ,福岡,125,A3,
015843,松本 昂大,マツモト コウダイ,長崎,125,A1,
015844,小山 峻汰,オヤマ シュンタ,熊本,125,A2,
015845,稲留 敦貴,イナドメ アツキ,鹿児島,125,A2,
015846,入田 龍馬,イリタ リュウマ,鹿児島,125,A3,
015847,寺師 幸成,テラシ コウセイ,鹿児島,125,A1,
015848,與古田 龍門,ヨコタ リュウト,沖縄,125,A3,
015869,杉浦 颯太,スギウラ ハヤタ,北海道,127,A2,A2
015870,畑崎 大輝,ハタザキ ダイキ,青森,127,A2,
015871,三浦 生誠,ミウラ キアキ,岩手,127,A2,
015872,池田 充槻,イケダ ミツキ,秋田,127,A2,
015873,十文字 悠真,ジュウモンジ ユウマ,福島,127,A3,
015874,角田 吏,ツノダ ツカサ,福島,127,A3,
015875,邊見 竜馬,ヘンミ リュウマ,福島,127,A2,A2
015876,三神 遼矢,ミカミ リョウヤ,福島,127,A2,A2
015877,三澤 優樹,ミサワ ユウキ,福島,127,A2,A2
015878,椎名 俊介,シイナ シュンスケ,茨城,127,A2,A2
015879,西本 健三郎,ニシモト ケンザブロウ,茨城,127,A2,A2
015880,吉岡 優太,ヨシオカ ユウタ,茨城,127,A2,A2
015881,関口 朗斗,セキグチ アキト,群馬,127,A3,
015882,木村 優駿,キムラ ユウシュン,埼玉,127,A2,
015883,吉田 夢希斗,ヨシダ ユキト,埼玉,127,A2,
015884,秋山 太洋,アキヤマ タイヨウ,東京,127,A3,
015885,五輪 拓巳,ゴワ タクミ,東京,127,A2,
015886,中川 飛隆,ナカガワ ヒダカ,新潟,127,A3,
015887,星野 京旺,ホシノ キョウ,新潟,127,A3,
015888,水澤 秀哉,ミズサワ ヒデヤ,千葉,127,A2,
015889,大本 隆也,オオモト リュウヤ,神奈川,127,A3,
015890,中 秀平,ナカ シュウヘイ,神奈川,127,A3,
015892,山本 和瑳,ヤマモト カズサ,神奈川,127,A2,
015893,岩辺 陸,イワナベ リク,静岡,127,A2,A2
015894,大塚 城,オオツカ ジョウ,静岡,127,A2,A2
015895,鈴木 小次廊,スズキ コジロウ,静岡,127,A2,
015897,森 飛龍,モリ ヒリュウ,静岡,127,A2,
015898,岩原 健馬,イワハラ ケンマ,愛知,127,A2,
015899,加藤 駿,カトウ シュン,愛知,127,A2,
015900,花田 雄飛,ハナダ ユウヒ,愛知,127,A3,
015901,真木 寛斗,マキ カント,愛知,127,A2,A2
015902,安達 光伸,アダチ コウシン,岐阜,127,A2,A2
015903,谷澤 優貴,タニザワ ユウキ,三重,127,A2,A2
015904,辻田 祥大,ツジタ ショウタ,三重,127,A2,
015905,上野 幸星,ウエノ コウセイ,富山,127,A3,
015906,林 佳宗依,ハヤシ カムイ,富山,127,A2,
015907,上杉 有弘,ウエスギ トモヒロ,福井,127,A2,
015908,川村 峻輝,カワムラ シュンキ,京都,127,A2,A2
015909,馬越 裕之,ウマコシ ヒロユキ,奈良,127,A2,A2
015910,土生 智徳,ハブ トモノリ,大阪,127,A2,
015911,松田 安綱,マツダ ヤスツナ,大阪,127,A2,
015912,安達 豪太,アダチ ゴウタ,兵庫,127,A3,
015913,一守 大葵,イチモリ タイキ,兵庫,127,A2,
015914,西森 一稀,ニシモリ イッキ,兵庫,127,A2,A2
015915,柏野 健吾,カシノ ケンゴ,岡山,127,A2,
015916,小西 涼太,コニシ リョウタ,岡山,127,A2,
015918,土井 慎二,ドイ シンジ,岡山,127,A2,
015919,藤田 楓,フジタ カエデ,岡山,127,A2,
015920,吉野 太晟,ヨシノ タイセイ,岡山,127,A2,A2
015921,伊藤 涼介,イトウ リョウスケ,広島,127,A2,
015922,中田 拓也,ナカタ タクヤ,広島,127,A2,
015923,右近 陸人,ウコン リクト,山口,127,A3,
015924,利川 寛太,トシカワ カンタ,山口,127,A2,
015925,川西 康彦,カワニシ ヤスヒコ,徳島,127,A2,
015926,諸隈 健太郎,モロクマ ケンタロウ,高知,127,A2,
015927,長野 魅切,ナガノ ミギリ,愛媛,127,A1,
015928,尾野 翔一,オノ ショウイチ,福岡,127,A1,
015929,鶴 淳志,ツル アツシ,福岡,127,A2,
015930,野津 宏介,ノヅ コウスケ,福岡,127,A2,A2
015931,山口 留稀哉,ヤマグチ ルキヤ,長崎,127,A2,A2
015932,生野 優翔,ショウノ ユウト,大分,127,A2,
015933,山本 康旗,ヤマモト コウキ,大分,127,A2,
015934,吉田 航,ヨシダ ワタル,大分,127,A2,
015935,佐藤 魁皇,サトウ カイオウ,熊本,127,A3,
015936,下山 聖斗,サガヤマ アキト,鹿児島,127,A3,
015937,新垣 慶晃,アラカキ チカテル,沖縄,127,A2,
015958,庄子 琢心,ショウジ タクミ,宮城,129,A3,A3
015959,中野 楚樂,ナカノ チュール,宮城,129,A3,A3
015960,阿部 蒼大,アベ ソウタ,秋田,129,A3,A3
015961,榊枝 天旺,サカキエダ テオ,福島,129,A3,A3
015962,福田 悠航,フクダ ユウコウ,福島,129,A3,A3
015963,福地 晶,フクチ ヒカル,福島,129,A3,A3
015964,柳沼 鼓太朗,ヤギヌマ コタロウ,福島,129,A3,A3
015965,篠原 輝利,シノハラ キリ,茨城,129,A3,A3
015966,近内 三孝,コンナイ ミツノリ,栃木,129,A3,A3
015967,田崎 隼翔,タサキ ハヤト,栃木,129,A3,A3
015968,渡邉 拓,ワタナベ タク,栃木,129,A3,A3
015969,北村 翔太,キタムラ ショウタ,群馬,129,A3,A3
015970,田沼 龍弥,タヌマ リュウヤ,群馬,129,A3,A3
015971,阿部 凪汰,アベ ナギタ,埼玉,129,A3,A3
015972,佐藤 凱王,サトウ トキタカ,埼玉,129,A3,A3
015973,長川 達哉,ナガカワ タツヤ,埼玉,129,A3,A3
015974,山下 季秦,ヤマシタ キシン,埼玉,129,A3,A3
015975,小笠原 匠海,オガサワラ タクミ,東京,129,A3,A3
015976,勝沼 遼,カツヌマ リョウ,東京,129,A3,A3
015977,齊藤 宏樹,サイトウ コウキ,東京,129,A3,A3
015978,中西 将太郎,ナカニシ ショウタロウ,東京,129,A3,A3
015979,福田 海響,フクダ ウキョウ,東京,129,A3,A3
015980,吉川 敬介,ヨシカワ ケイスケ,東京,129,A3,A3
015981,小川 佑希也,オガワ ユキヤ,千葉,129,A3,A3
015982,中村 嶺央,ナカムラ レオ,千葉,129,A3,A3
015983,大村 涼兼,オオムラ リョウケン,神奈川,129,A3,A3
015984,藤岡 祐馬,フジオカ ユウマ,神奈川,129,A3,A3
015985,山本 真,ヤマモト マコト,神奈川,129,A3,A3
015986,鈴木 那樹,スズキ ナギ,静岡,129,A3,A3
015987,松田 祥位,マツダ ショウイ,静岡,129,A3,A3
015988,鴨下 佳朋,カモシタ ヨシトモ,愛知,129,A3,A3
015989,松木 一将,マツキ カズマサ,愛知,129,A3,A3
015990,児玉 東次郎,コダマ トウジロウ,岐阜,129,A3,A3
015991,坂井 央雅,サカイ オウガ,岐阜,129,A3,A3
015992,永田 吏玖,ナガタ リク,岐阜,129,A3,A3
015993,西澤 優聖,ニシザワ マサト,岐阜,129,A3,A3
015994,林 欣司,ハヤシ キンジ,岐阜,129,A3,A3
015995,伊藤 京介,イトウ キョウスケ,三重,129,A2,A2
015996,白井 輝,シライ テル,石川,129,A3,A3
015997,片岡 遼真,カタオカ リョウマ,福井,129,A3,A3
015998,木曽田 晃大,キソダ コウタ,京都,129,A3,A3
015999,冨倉 巧,トミクラ タクミ,京都,129,A3,A3
016000,北宅 柊麻,キタヤ トウマ,大阪,129,A3,A3
016001,高橋 奏多,タカハシ カナタ,大阪,129,A3,A3
016002,宮田 龍一,ミヤタ リュウイチ,大阪,129,A3,A3
016003,吉岡 竜太,ヨシオカ リュウタ,広島,129,A3,A3
016004,松本 悠平,マツモト ユウヘイ,高知,129,A3,A3
016005,清家 大夢,セイケ ヒロム,愛媛,129,A3,A3
016006,高橋 聖太,タカハシ ショウタ,愛媛,129,A3,A3
016007,渡邊 諒馬,ワタナベ リョウマ,愛媛,129,A3,A3
016008,久保田 智之,クボタ トモユキ,福岡,129,A3,A3
016009,兒島 直樹,コジマ ナオキ,福岡,129,A3,A3
016010,駒壽 直人,コマジュ ナオト,福岡,129,A3,A3
016011,鶴 健志,ツル タケシ,福岡,129,A3,A3
016012,藤井 凜太郎,フジイ リンタロウ,福岡,129,A3,A3
016013,森下 龍之介,モリシタ リュウノスケ,福岡,129,A3,A3
016014,森田 瑞基,モリタ ミズキ,福岡,129,A3,A3
016015,横溝 貫太,ヨコミゾ カンタ,福岡,129,A3,A3
016016,西原 裕太郎,ニシハラ ユウタロウ,佐賀,129,A3,A3
016017,白濱 蓮,シラハマ レン,長崎,129,A3,A3
016018,田中 衛太,タナカ エイタ,長崎,129,A3,A3
016019,沢田 桂太郎,サワダ ケイタロウ,大分,129,A3,A3
016020,飯田 怜治,イイダ レイジ,熊本,129,A3,A3
016021,財満 伊織,ザイマ イオリ,熊本,129,A3,A3
016022,半田 莉都,ハンダ リイチ,熊本,129,A3,A3
016023,滿田 光紀,ミツダ コウキ,熊本,129,A3,A3
016024,宮本 寛大,ミヤモト カンタ,熊本,129,A3,A3
016025,高佐 龍太郎,コウサ リュウタロウ,宮崎,129,A3,A3
