reg_no,name,grade,score,entries,racing_now,starts,dq,form_emoji,form_avg,retired
014459,根藤 浩二,A2,86.00,宇都宮@08/31-09/02;弥彦@09/07-09/09;熊本@09/24-09/26,,15,0,,3.4,
014460,矢口 大樹,A1,88.75,玉野@09/02-09/04;川崎@09/10-09/12,高知,12,0,,5.0,
014461,山中 秀将,A1,92.28,和歌山@08/30-09/01;静岡@09/18-09/20;広島@09/28-09/30,,7,0,,3.4,
014463,久保 将史,A3,63.40,松戸@09/01-09/03;大宮@09/21-09/23,宇都,10,0,🥺,6.2,
014464,中西 司,A2,83.46,松阪@08/31-09/02;川崎@09/17-09/19,,15,0,,4.0,
014466,二藤 元太,A1,93.33,松阪@08/31-09/02;弥彦@09/07-09/09,,9,0,,3.4,
014470,板橋 慎治,A2,80.80,松山@08/31-09/02;豊橋@09/11-09/13,,15,0,🥺,6.0,
014473,重倉 高史,A1,87.93,富山@09/03-09/05;大宮@09/13-09/15;玉野@09/27-09/29,,12,0,,2.6,
014474,山崎 晃,A2,84.52,西武園@08/31-09/02;武雄@09/27-09/29,,15,0,,4.2,
014475,高間 悠平,A1,92.16,西武園@09/06-09/08;佐世保@09/20-09/22;玉野@09/27-09/29,,12,0,,4.4,
014476,乾 庄平,A2,84.83,大垣@09/07-09/09;熊本@09/24-09/26,,18,0,,3.6,
014477,白上 翔,A1,93.00,四日市@08/29-08/31;松阪@09/05-09/07;松山@09/19-09/21,,12,0,,3.4,
014479,金子 浩貴,A2,83.53,久留米@09/05-09/07;岸和田@09/14-09/16;大垣@09/22-09/24,,15,0,,3.2,
014482,松本 琢也,A3,69.77,松戸@09/01-09/03;富山@09/10-09/12;大宮@09/21-09/23,宇都,9,0,,4.4,
014483,竜門 孝宗,A3,69.00,武雄@09/16-09/18;別府@09/24-09/26,松阪,12,0,,3.6,
014486,大瀬戸 潤一郎,A1,90.00,松山@08/31-09/02;青森@09/14-09/16,,18,0,,3.4,
014487,才迫 勇馬,A3,79.20,武雄@09/09-09/11;弥彦@09/24-09/26,青森,15,0,,2.4,
014489,高鍋 邦彰,A2,78.58,小松島@08/27-08/29;川崎@09/10-09/12;防府@09/29-10/01,,12,0,🥺,5.6,
014490,永田 隼一,A3,67.00,,,7,0,,4.2,
014492,飯塚 隼人,A2,80.28,久留米@09/05-09/07;佐世保@09/20-09/22,高知,14,0,,4.4,
014494,山崎 翼,A1,83.55,川崎@08/30-09/01;青森@09/14-09/16;別府@09/24-09/26,,9,0,,4.8,
014495,下沖 功児,A1,89.27,静岡@09/18-09/20;玉野@09/27-09/29,,18,0,,2.8,
014496,天沼 雅貴,A3,70.08,松阪@09/05-09/07;松山@09/12-09/14;奈良@09/24-09/26,青森,12,0,,4.6,
014502,相笠 翔太,A2,86.25,小倉@08/28-08/30;豊橋@09/04-09/06;別府@09/16-09/18;伊東@09/23-09/25,,12,0,,4.0,
014503,真船 拓磨,A3,66.75,松戸@09/01-09/03;松山@09/12-09/14;奈良@09/24-09/26,宇都,12,0,,4.4,
014510,菅谷 隆司,A1,89.40,立川@09/16-09/18;いわき平@09/27-09/29,,15,0,,3.8,
014513,樋口 絢土,A2,80.33,川崎@09/17-09/19;いわき平@09/27-09/29,,9,0,,4.8,
014516,村松 俊弥,A3,71.60,静岡@08/30-09/01;弥彦@09/07-09/09;武雄@09/16-09/18,,15,0,,4.4,
014519,湯浅 大輔,A3,76.93,弥彦@09/02-09/04;豊橋@09/11-09/13,宇都,15,0,,2.6,
014520,伊藤 彰規,A2,80.80,玉野@09/02-09/04;前橋@09/11-09/13,,15,0,,4.2,
014522,高橋 佑輔,A2,81.66,和歌山@08/30-09/01;伊東@09/07-09/09;青森@09/26-09/28,,15,0,,4.4,
014525,三ッ井 武,A2,88.75,伊東@09/07-09/09;青森@09/26-09/28,防府,12,0,,2.2,
014526,渡辺 馨,A3,71.15,伊東@08/27-08/29;富山@09/10-09/12;大垣@09/22-09/24,,13,0,,4.2,
014527,飯田 憲司,A1,89.00,四日市@08/29-08/31;富山@09/10-09/12;別府@09/16-09/18;いわき平@09/27-09/29,,12,0,,3.8,
014528,落合 達彦,A1,87.62,豊橋@09/04-09/06;前橋@09/11-09/13;熊本@09/24-09/26,,15,0,,3.0,
014530,栗田 雄矢,A1,85.08,松戸@09/01-09/03;豊橋@09/11-09/13,,12,0,,4.2,
014532,柴田 竜史,A2,80.33,岸和田@08/27-08/29;伊東@09/07-09/09;小松島@09/23-09/25,,12,0,,5.0,
014533,加藤 正法,A2,79.00,和歌山@08/30-09/01;高知@09/09-09/11;伊東@09/23-09/25,,12,0,🥺,5.8,
014549,戸伏 康夫,A1,83.40,奈良@08/26-08/28;防府@09/15-09/17;平塚@09/28-09/30,,15,0,,3.8,
014550,龍門 慎太郎,A3,71.38,武雄@09/16-09/18;川崎@09/24-09/26,,18,0,,4.0,
